| #  | Texto do Email                                                                                       | Arquivo Simulado | Categoria Esperada | Pontuação |
| -- | ---------------------------------------------------------------------------------------------------- | ---------------- | ------------------ | --------- |
| 1  | "Parabéns pelo excelente trabalho da equipe neste trimestre!"                                        | ❌                | Improdutivo        | -2        |
| 2  | "Favor verificar os dados do cliente João e enviar retorno sobre o suporte técnico."                 | ✅ (TXT)          | Produtivo          | 2         |
| 3  | "Agradecemos pelo envio das fotos do evento, ficaram ótimas!"                                        | ❌                | Improdutivo        | -2        |
| 4  | "Solicito atualização do cadastro de fornecedores e confirmação do envio das notas fiscais."         | ✅ (PDF)          | Produtivo          | 2         |
| 5  | "Estamos felizes com os resultados obtidos no projeto piloto. Muito obrigado a todos os envolvidos!" | ❌                | Improdutivo        | -2        |
| 6  | "Há uma dúvida sobre a instalação do software, pode nos orientar?"                                   | ✅ (TXT)          | Produtivo          | 2         |
| 7  | "Obrigado pela lembrança do aniversário da equipe, muito gentil!"                                    | ❌                | Improdutivo        | -2        |
| 8  | "Favor encaminhar a atualização dos preços e condições para todos os clientes ativos."               | ✅ (PDF)          | Produtivo          | 2         |
| 9 | "Parabéns pelo novo site! Ficou muito bonito e funcional."                                           | ✅ (TXT)          | Improdutivo        | -2        |
